Species	Term Accession	Term	Object	RGD ID	Symbol	Name	Type	Qualifiers	Evidence	Chr	Start	Stop	Reference(s)	Source(s)	Original Reference(s)	Notes
Human	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1315846	RAD51D	RAD51 paralog D	protein-coding		TAS	17	35,092,221	35,119,860		RGD	 PMID:20690856	
Rat	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1304975	Rad52	RAD52 homolog, DNA repair protein	protein-coding		IEA	 4	153,106,062	153,128,598	KEGG	KEGG	 	
Mouse	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1312726	Rad52	RAD52 homolog, DNA repair protein	protein-coding		IEA	 6	119,878,781	119,899,789	KEGG	KEGG	 	
Human	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1312725	RAD52	RAD52 homolog, DNA repair protein	protein-coding		IEA	12	911,736	991,122	KEGG	KEGG	 	
Naked Mole-Rat	PW:0000202	homologous recombination pathway of double-strand break repair	gene	18920491	Rad54b	RAD54 homolog B	protein-coding		ISO	NW_004624763	1,773,943	1,878,032	RGD	RGD	PMID:20690856 	
Green Monkey	PW:0000202	homologous recombination pathway of double-strand break repair	gene	18715693	RAD54B	RAD54 homolog B	protein-coding		ISO	 8	89,351,203	89,450,047	RGD	RGD	PMID:20690856 	
Pig	PW:0000202	homologous recombination pathway of double-strand break repair	gene	13901020	RAD54B	RAD54 homolog B	protein-coding		ISO	 4	42,249,482	42,369,408	RGD	RGD	PMID:20690856 	
Squirrel	PW:0000202	homologous recombination pathway of double-strand break repair	gene	12468138	Rad54b	RAD54 homolog B	protein-coding		ISO	NW_004936544	7,375,566	7,475,319	RGD	RGD	PMID:20690856 	
Dog	PW:0000202	homologous recombination pathway of double-strand break repair	gene	12431491	RAD54B	RAD54 homolog B	protein-coding		ISO	29	39,096,680	39,195,054	RGD	RGD	PMID:20690856 	
Bonobo	PW:0000202	homologous recombination pathway of double-strand break repair	gene	11847229	RAD54B	RAD54 homolog B	protein-coding		ISO	 8	90,995,229	91,098,149	RGD	RGD	PMID:20690856 	
Chinchilla	PW:0000202	homologous recombination pathway of double-strand break repair	gene	8813197	Rad54b	RAD54 homolog B	protein-coding		ISO	NW_004955417	10,598,295	10,685,999	RGD	RGD	PMID:20690856 	
Rat	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1306507	Rad54b	RAD54 homolog B	protein-coding		ISO	 5	25,032,112	25,104,630	KEGG	KEGG,RGD	 PMID:20690856	
Mouse	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1315162	Rad54b	RAD54 homolog B (S. cerevisiae)	protein-coding		ISO	 4	11,558,930	11,615,806		RGD	 PMID:20690856	
Human	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1604371	RAD54B	RAD54 homolog B	protein-coding		TAS	 8	94,371,960	94,475,115	KEGG	KEGG,RGD	 PMID:20690856	
Rat	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1310600	Rad54l	RAD54 like	protein-coding		IEA	 5	129,575,431	129,605,100	KEGG	KEGG	 	
Mouse	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1321601	Rad54l	RAD54 like (S. cerevisiae)	protein-coding		IEA	 4	115,951,458	115,980,897	KEGG	KEGG	 	
Human	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1321600	RAD54L	RAD54 like	protein-coding		IEA	 1	46,247,688	46,278,473	KEGG	KEGG	 	
Naked Mole-Rat	PW:0000202	homologous recombination pathway of double-strand break repair	gene	18907676	Rbbp8	RB binding protein 8, endonuclease	protein-coding		ISO	NW_004624770	9,026,592	9,100,818	RGD	RGD	PMID:24326623 	
Green Monkey	PW:0000202	homologous recombination pathway of double-strand break repair	gene	18665205	RBBP8	RB binding protein 8, endonuclease	protein-coding		ISO	18	57,501,070	57,617,301	RGD	RGD	PMID:24326623 	
Pig	PW:0000202	homologous recombination pathway of double-strand break repair	gene	14150588	RBBP8	RB binding protein 8, endonuclease	protein-coding		ISO	 6	107,923,921	108,020,067	RGD	RGD	PMID:24326623 	
Squirrel	PW:0000202	homologous recombination pathway of double-strand break repair	gene	12486374	Rbbp8	RB binding protein 8, endonuclease	protein-coding		ISO	NW_004936550	2,482,915	2,554,077	RGD	RGD	PMID:24326623 	
Dog	PW:0000202	homologous recombination pathway of double-strand break repair	gene	12122317	RBBP8	RB binding protein 8, endonuclease	protein-coding		ISO	 7	65,218,288	65,319,696	RGD	RGD	PMID:24326623 	
Bonobo	PW:0000202	homologous recombination pathway of double-strand break repair	gene	11880747	RBBP8	RB binding protein 8, endonuclease	protein-coding		ISO	18	16,181,652	16,274,597	RGD	RGD	PMID:24326623 	
Chinchilla	PW:0000202	homologous recombination pathway of double-strand break repair	gene	8741319	Rbbp8	RB binding protein 8, endonuclease	protein-coding		ISO	NW_004955402	11,245,857	11,331,872	RGD	RGD	PMID:24326623 	
Rat	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1308872	Rbbp8	RB binding protein 8, endonuclease	protein-coding		ISO	18	2,922,985	2,988,851		RGD	 PMID:24326623	
Mouse	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1622091	Rbbp8	retinoblastoma binding protein 8, endonuclease	protein-coding		ISO	18	11,766,333	11,876,264		RGD	 PMID:24326623	
Human	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1317354	RBBP8	RB binding protein 8, endonuclease	protein-coding		TAS	18	22,914,139	23,026,486		RGD	 PMID:24326623	
Pig	PW:0000202	homologous recombination pathway of double-strand break repair	gene	14001124	RFFL	ring finger and FYVE like domain containing E3 ubiquitin protein ligase	protein-coding		ISO	12	40,054,175	40,072,831	RGD	RGD	PMID:20690856 	
Rat	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1307376	Rpa1	replication protein A1	protein-coding		IEA	10	60,148,869	60,199,970	KEGG	KEGG	 	
Mouse	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1316542	Rpa1	replication protein A1	protein-coding		IEA	11	75,191,085	75,239,478	KEGG	KEGG	 	
Human	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1316541	RPA1	replication protein A1	protein-coding		IEA	17	1,830,005	1,900,082	KEGG	KEGG	 	
Rat	PW:0000202	homologous recombination pathway of double-strand break repair	gene	619714	Rpa2	replication protein A2	protein-coding		IEA	 5	144,976,789	144,989,445	KEGG	KEGG	 	
Mouse	PW:0000202	homologous recombination pathway of double-strand break repair	gene	734242	Rpa2	replication protein A2	protein-coding		IEA	 4	132,495,671	132,506,057	KEGG	KEGG	 	
Human	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1344829	RPA2	replication protein A2	protein-coding		IEA	 1	27,891,524	27,914,797	KEGG	KEGG	 	
Rat	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1306810	Rpa3	replication protein A3	protein-coding		IEA	 4	36,304,649	36,307,755	KEGG	KEGG	 	
Mouse	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1315636	Rpa3	replication protein A3	protein-coding		IEA	 6	8,255,936	8,259,141	KEGG	KEGG	 	
Human	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1315635	RPA3	replication protein A3	protein-coding		IEA	 7	7,636,518	7,718,607	KEGG	KEGG	 	
Human	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1350001	RPA4	replication protein A4	protein-coding		IEA	  X	96,883,908	96,885,467	KEGG	KEGG	 	
Rat	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1590628	Sem1	SEM1 26S proteasome subunit	protein-coding		IEA	 4	34,671,848	34,692,005	KEGG	KEGG	 	
Mouse	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1616831	Sem1	SEM1, 26S proteasome complex subunit	protein-coding		IEA	 6	6,558,275	6,578,658	KEGG	KEGG	 	
Human	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1349756	SEM1	SEM1 26S proteasome subunit	protein-coding		IEA	 7	96,481,626	96,709,846	KEGG	KEGG	 	
Rat	PW:0000202	homologous recombination pathway of double-strand break repair	gene	3760	Ssbp1	single stranded DNA binding protein 1	protein-coding		IEA	 4	69,266,024	69,276,135	KEGG	KEGG	 	
Mouse	PW:0000202	homologous recombination pathway of double-strand break repair	gene	736465	Ssbp1	single-stranded DNA binding protein 1	protein-coding		IEA	 6	40,448,302	40,458,757	KEGG	KEGG	 	
Human	PW:0000202	homologous recombination pathway of double-strand break repair	gene	736464	SSBP1	single stranded DNA binding protein 1	protein-coding		IEA	 7	141,738,321	141,750,488	KEGG	KEGG	 	
Rat	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1309320	Top3a	DNA topoisomerase III alpha	protein-coding		IEA	10	45,419,219	45,457,356	KEGG	KEGG	 	
Mouse	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1319605	Top3a	topoisomerase (DNA) III alpha	protein-coding		IEA	11	60,629,035	60,668,191	KEGG	KEGG	 	
Human	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1319604	TOP3A	DNA topoisomerase III alpha	protein-coding		IEA	17	18,271,428	18,314,994	KEGG	KEGG	 	
Rat	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1309468	Top3b	DNA topoisomerase III beta	protein-coding		IEA	11	84,097,018	84,125,474	KEGG	KEGG	 	
Mouse	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1319826	Top3b	topoisomerase (DNA) III beta	protein-coding		IEA	16	16,688,587	16,710,850	KEGG	KEGG	 	
Human	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1319825	TOP3B	DNA topoisomerase III beta	protein-coding		IEA	22	21,957,025	21,982,787	KEGG	KEGG	 	
Naked Mole-Rat	PW:0000202	homologous recombination pathway of double-strand break repair	gene	18935205	Xrcc2	X-ray repair cross complementing 2	protein-coding		ISO	NW_004624800	4,352,566	4,389,707	RGD	RGD	PMID:20690856 	
Green Monkey	PW:0000202	homologous recombination pathway of double-strand break repair	gene	18397303	XRCC2	X-ray repair cross complementing 2	protein-coding		ISO	21	120,795,188	120,827,737	RGD	RGD	PMID:20690856 	
Pig	PW:0000202	homologous recombination pathway of double-strand break repair	gene	13948325	XRCC2	X-ray repair cross complementing 2	protein-coding		ISO	18	4,808,428	4,834,281	RGD	RGD	PMID:20690856 	
Squirrel	PW:0000202	homologous recombination pathway of double-strand break repair	gene	12703967	Xrcc2	X-ray repair cross complementing 2	protein-coding		ISO	NW_004936527	7,760,609	7,785,360	RGD	RGD	PMID:20690856 	
Dog	PW:0000202	homologous recombination pathway of double-strand break repair	gene	12297562	XRCC2	X-ray repair cross complementing 2	protein-coding		ISO	16	16,402,821	16,429,095	RGD	RGD	PMID:20690856 	
Bonobo	PW:0000202	homologous recombination pathway of double-strand break repair	gene	11854431	XRCC2	X-ray repair cross complementing 2	protein-coding		ISO	 7	144,229,031	144,256,854	RGD	RGD	PMID:20690856 	
Chinchilla	PW:0000202	homologous recombination pathway of double-strand break repair	gene	8741032	Xrcc2	X-ray repair cross complementing 2	protein-coding		ISO	NW_004955491	6,579,443	6,629,410	RGD	RGD	PMID:20690856 	
Rat	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1564823	Xrcc2	X-ray repair cross complementing 2	protein-coding		ISO	 4	9,423,873	9,502,980	KEGG	KEGG,RGD	 PMID:20690856	
Mouse	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1557193	Xrcc2	X-ray repair complementing defective repair in Chinese hamster cells 2	protein-coding		ISO	 5	25,894,812	25,910,795	KEGG	KEGG,RGD	 PMID:20690856	
Human	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1349181	XRCC2	X-ray repair cross complementing 2	protein-coding		TAS	 7	152,644,776	152,676,141	KEGG	KEGG,RGD	 PMID:20690856	
Naked Mole-Rat	PW:0000202	homologous recombination pathway of double-strand break repair	gene	18921543	Xrcc3	X-ray repair cross complementing 3	protein-coding		ISO	NW_004624734	1,216,641	1,223,860	RGD	RGD	PMID:20690856 	
Green Monkey	PW:0000202	homologous recombination pathway of double-strand break repair	gene	18558850	XRCC3	X-ray repair cross complementing 3	protein-coding		ISO	24	81,627,911	81,641,598	RGD	RGD	PMID:20690856 	
Pig	PW:0000202	homologous recombination pathway of double-strand break repair	gene	14199576	XRCC3	X-ray repair cross complementing 3	protein-coding		ISO	    			RGD	RGD	PMID:20690856 	
Squirrel	PW:0000202	homologous recombination pathway of double-strand break repair	gene	12705326	Xrcc3	X-ray repair cross complementing 3	protein-coding		ISO	NW_004936621	1,462,441	1,474,937	RGD	RGD	PMID:20690856 	
Dog	PW:0000202	homologous recombination pathway of double-strand break repair	gene	12208650	XRCC3	X-ray repair cross complementing 3	protein-coding		ISO	 8	71,441,732	71,452,922	RGD	RGD	PMID:20690856 	
Bonobo	PW:0000202	homologous recombination pathway of double-strand break repair	gene	12033195	XRCC3	X-ray repair cross complementing 3	protein-coding		ISO	14	84,323,644	84,341,763	RGD	RGD	PMID:20690856 	
Chinchilla	PW:0000202	homologous recombination pathway of double-strand break repair	gene	8934762	Xrcc3	X-ray repair cross complementing 3	protein-coding		ISO	NW_004955538	2,499,297	2,511,898	RGD	RGD	PMID:20690856 	
Rat	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1306849	Xrcc3	X-ray repair cross complementing 3	protein-coding		ISO	 6	130,863,405	130,873,765		RGD	 PMID:20690856	
Mouse	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1315700	Xrcc3	X-ray repair complementing defective repair in Chinese hamster cells 3	protein-coding		ISO	12	111,769,626	111,780,326	KEGG	KEGG,RGD	 PMID:20690856	
Human	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1315699	XRCC3	X-ray repair cross complementing 3	protein-coding		TAS	14	103,697,617	103,715,451	KEGG	KEGG,RGD	 PMID:20690856	
